step,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_mag,cmd_x,cmd_y,cmd_z
0,7.552720228097852e-05,-7.297379275186935e-05,0.5999648769122378,-0.00017085174521105313,2.0816448357248947e-05,0.5999301415757803,-0.00024637894749203167,9.37902411091183e-05,-3.473533645748095e-05,0.00026590550707610824,7.552720228097852e-05,-7.297379275186935e-05,0.5999648769122378
1,0.005074016658235358,-7.151431689683197e-05,0.599965579373993,0.00548742119776431,2.1600033301218516e-05,0.6007406636899245,0.0004134045395289519,9.311435019805048e-05,0.0007750843159315401,0.0008833624920263558,0.005074016658235358,-7.151431689683197e-05,0.599965579373993
2,0.01007250611418974,-7.005484104179458e-05,0.5999662818357483,0.009887956123725228,-2.7636412362498495e-05,0.6002399823638649,-0.00018454999046451162,4.241842867929608e-05,0.00027370052811659384,0.0003328212751062862,0.01007250611418974,-7.005484104179458e-05,0.5999662818357483
3,0.01507099557014412,-6.85953651867572e-05,0.5999669842975035,-0.00028550727417259153,0.0010114184560210118,0.6001685828744499,-0.015356502844316711,0.001080013821207769,0.00020159857694634908,0.01539575433188429,0.01507099557014412,-6.85953651867572e-05,0.5999669842975035
4,0.0200694850260985,-6.71358893317198e-05,0.5999676867592587,0.005393293743393319,-0.0002561584528031616,0.6004185112337745,-0.01467619128270518,-0.0001890225634714418,0.00045082447451583185,0.014684330519396358,0.0200694850260985,-6.71358893317198e-05,0.5999676867592587
5,0.02506797448205288,-6.567641347668242e-05,0.599968389221014,0.009724701572304525,-0.00037673960507845084,0.6006114110996764,-0.015343272909748355,-0.0003110631916017684,0.0006430218786623865,0.015359891309141017,0.02506797448205288,-6.567641347668242e-05,0.599968389221014
6,0.03006646393800726,-6.421693762164504e-05,0.5999690916827692,0.01554705889027022,0.000522320345073884,0.6005918611403899,-0.014519405047737041,0.000586537282695529,0.0006227694576206311,0.01454458630286846,0.03006646393800726,-6.421693762164504e-05,0.5999690916827692
7,0.03506495339396164,-6.275746176660764e-05,0.5999697941445244,0.020044456425717384,-7.806479492531786e-05,0.5997798248555879,-0.015020496968244253,-1.5307333158710222e-05,-0.0001899692889365534,0.015021706022227379,0.03506495339396164,-6.275746176660764e-05,0.5999697941445244
8,0.04006344284991602,-6.129798591157026e-05,0.5999704966062798,0.025148877329369733,9.576082133794597e-05,0.6000219913806668,-0.014914565520546284,0.00015705880724951621,5.1494774387039755e-05,0.014915481348162783,0.04006344284991602,-6.129798591157026e-05,0.5999704966062798
9,0.0450619323058704,-5.983851005653287e-05,0.599971199068035,0.02935375830311726,0.0008563601018143493,0.6011848705924909,-0.015708174002753136,0.0009161986118708822,0.0012136715244559504,0.015781607933491405,0.0450619323058704,-5.983851005653287e-05,0.599971199068035
10,0.05006042176182478,-5.837903420149548e-05,0.5999719015297902,0.035877478670480675,0.0007312057496223244,0.5997435068740454,-0.014182943091344102,0.0007895847838238198,-0.00022839465574475692,0.014206740758594995,0.05006042176182478,-5.837903420149548e-05,0.5999719015297902
11,0.05505891121777916,-5.691955834645809e-05,0.5999726039915455,0.03995252896038432,-0.00020525579758489204,0.5996747136375055,-0.015106382257394836,-0.00014833623923843394,-0.0002978903540400424,0.015110047227240391,0.05505891121777916,-5.691955834645809e-05,0.5999726039915455
12,0.06005740067373354,-5.5460082491420705e-05,0.5999733064533007,0.0448379451681517,0.0006296794680915727,0.6003944282557331,-0.01521945550558184,0.0006851395505829935,0.0004211218024323671,0.015240688490440395,0.06005740067373354,-5.5460082491420705e-05,0.5999733064533007
13,0.06505589012968792,-5.400060663638332e-05,0.5999740089150559,0.049540020951544764,-0.0002534215007841452,0.6006996716541569,-0.015515869178143155,-0.00019942089414776187,0.0007256627391010184,0.015534109290757388,0.06505589012968792,-5.400060663638332e-05,0.5999740089150559
14,0.0700543795856423,-5.254113078134593e-05,0.5999747113768111,0.05402019402480365,-0.0005324065039214005,0.6001095029353165,-0.016034185560838646,-0.00047986537314005455,0.00013479155850537605,0.016041930873183244,0.0700543795856423,-5.254113078134593e-05,0.5999747113768111
15,0.07505286904159668,-5.1081654926308546e-05,0.5999754138385665,0.06006062832465952,-0.0004905959789795326,0.6001603741011158,-0.01499224071693716,-0.00043951432405322404,0.0001849602625493274,0.01499982216075773,0.07505286904159668,-5.1081654926308546e-05,0.5999754138385665
16,0.08005135849755106,-4.962217907127116e-05,0.5999761163003217,0.06530684462884995,-0.00020129627046255568,0.5998690535365628,-0.014744513868701112,-0.0001516740913912845,-0.00010706276375882506,0.014745682645767963,0.08005135849755106,-4.962217907127116e-05,0.5999761163003217
17,0.08504984795350544,-4.816270321623377e-05,0.5999768187620769,0.07023547974079473,-0.0006454971180636015,0.5999546232915351,-0.014814368212710705,-0.0005973344148473678,-2.219547054171933e-05,0.0148264225821284,0.08504984795350544,-4.816270321623377e-05,0.5999768187620769
18,0.09004833740945982,-4.670322736119639e-05,0.5999775212238322,0.07537020777220216,0.00012904079441733245,0.5998005945838744,-0.014678129637257661,0.00017574402177852883,-0.00017692663995783064,0.014680247908167606,0.09004833740945982,-4.670322736119639e-05,0.5999775212238322
19,0.0950468268654142,-4.5243751506159e-05,0.5999782236855874,0.08016282458494925,0.0008654200168317616,0.6000057281026319,-0.01488400228046495,0.0009106637683379206,2.7504417044466045e-05,0.01491186067789014,0.0950468268654142,-4.5243751506159e-05,0.5999782236855874
20,0.10004531632136858,-4.378427565112161e-05,0.5999789261473426,0.08541230761813516,0.0004238845912697469,0.5998022160563867,-0.014633008703233419,0.0004676688669208685,-0.0001767100909558783,0.014641546514430696,0.10004531632136858,-4.378427565112161e-05,0.5999789261473426
21,0.10504380577732296,-4.232479979608422e-05,0.5999796286090979,0.09093078792521823,-0.00013425753228961797,0.6006794730823154,-0.014113017852104726,-9.193273249353374e-05,0.0006998444732174702,0.014130658399657938,0.10504380577732296,-4.232479979608422e-05,0.5999796286090979
22,0.11004229523327734,-4.0865323941046834e-05,0.5999803310708531,0.09739519902961906,0.001877913536160087,0.603305165027328,-0.012647096203658281,0.0019187788601011339,0.003324833956474871,0.013216855735638754,0.11004229523327734,-4.0865323941046834e-05,0.5999803310708531
23,0.11504078468923172,-3.9405848086009446e-05,0.5999810335326083,0.10068841988013141,0.0007903748976598327,0.6011364730838299,-0.014352364809100307,0.0008297807457458422,0.0011554395512215487,0.014422688801192324,0.11504078468923172,-3.9405848086009446e-05,0.5999810335326083
24,0.1200392741451861,-3.7946372230972064e-05,0.5999817359943637,0.10525328397087437,7.413321665201159e-05,0.601188318689383,-0.01478599017431173,0.00011207958888298365,0.001206582695019387,0.014835562310509415,0.1200392741451861,-3.7946372230972064e-05,0.5999817359943637
25,0.1250377636011405,-3.6486896375934676e-05,0.5999824384561189,0.10943647770062542,0.0003804251015484844,0.599807903847153,-0.015601285900515072,0.00041691199792441905,-0.0001745346089658817,0.015607831357794413,0.1250377636011405,-3.6486896375934676e-05,0.5999824384561189
26,0.13003625305709487,-3.502742052089729e-05,0.5999831409178741,0.11548993119678264,0.0005495022538143437,0.5998134111799923,-0.014546321860312239,0.0005845296743352409,-0.00016972973788176304,0.014559050888979597,0.13003625305709487,-3.502742052089729e-05,0.5999831409178741
27,0.13503474251304926,-3.35679446658599e-05,0.5999838433796294,0.11995946593588462,-0.0004903597515000221,0.6002994932816278,-0.015075276577164634,-0.00045679180683416226,0.0003156499019983938,0.015085498251414538,0.13503474251304926,-3.35679446658599e-05,0.5999838433796294
28,0.14003323196900364,-3.210846881082251e-05,0.5999845458413846,0.12456099429964317,0.0007737599610649334,0.5994197711255106,-0.01547223766936047,0.0008058684298757559,-0.0005647747158740168,0.015503500666079842,0.14003323196900364,-3.210846881082251e-05,0.5999845458413846
29,0.14503172142495802,-3.064899295578513e-05,0.5999852483031398,0.1302540543916663,-0.0003938688138536037,0.6003048342205893,-0.014777667033291725,-0.0003632198208978186,0.00031958591744951637,0.01478558442347688,0.14503172142495802,-3.064899295578513e-05,0.5999852483031398
30,0.1500302108809124,-2.918951710074774e-05,0.5999859507648951,0.1344252798532969,-0.00029834868191123525,0.599343865609032,-0.01560493102761551,-0.0002691591648104875,-0.0006420851558631702,0.015620454294930688,0.1500302108809124,-2.918951710074774e-05,0.5999859507648951
31,0.15502870033686678,-2.7730041245710352e-05,0.5999866532266503,0.1395123899901827,-0.00011119189861593046,0.6000894490127777,-0.015516310346684076,-8.34618573702201e-05,0.00010279578612737428,0.015516875317856251,0.15502870033686678,-2.7730041245710352e-05,0.5999866532266503
32,0.16002718979282116,-2.6270565390672964e-05,0.5999873556884056,0.14561052585536477,0.00020282468573464053,0.5993302704953355,-0.014416663937456387,0.00022909525112531348,-0.0006570851930700616,0.014433448814146797,0.16002718979282116,-2.6270565390672964e-05,0.5999873556884056
33,0.16502567924877554,-2.4811089535635576e-05,0.5999880581501609,0.14971441643242892,0.0005287628472785031,0.5999459473852287,-0.015311262816346621,0.0005535739368141387,-4.2110764932212774e-05,0.015321324565822686,0.16502567924877554,-2.4811089535635576e-05,0.5999880581501609
34,0.17002416870472992,-2.3351613680598187e-05,0.5999887606119161,0.1555052479110714,-5.411569464458691e-05,0.5997795644399732,-0.014518920793658519,-3.076408096398872e-05,-0.00020919617194292695,0.014520460408663453,0.17002416870472992,-2.3351613680598187e-05,0.5999887606119161
35,0.1750226581606843,-2.1892137825560806e-05,0.5999894630736713,0.15976869777865188,0.00042595679791653884,0.5999205177627351,-0.015253960382032417,0.0004478489357420996,-6.894531093615264e-05,0.015260689023165368,0.1750226581606843,-2.1892137825560806e-05,0.5999894630736713
36,0.18002114761663868,-2.0432661970523417e-05,0.5999901655354266,0.16445763088237683,-0.0005143912234884537,0.60012300036838,-0.015563516734261845,-0.0004939585615179302,0.00013283483295334353,0.01557192002583468,0.18002114761663868,-2.0432661970523417e-05,0.5999901655354266
37,0.18501963707259306,-1.897318611548603e-05,0.5999908679971818,0.17019647498099874,0.0010045646036769594,0.5996898236698078,-0.014823162091594316,0.0010235377897924456,-0.00030104432737398934,0.014861507046321245,0.18501963707259306,-1.897318611548603e-05,0.5999908679971818
38,0.19001812652854744,-1.7513710260448647e-05,0.599991570458937,0.17511591223551445,4.859015225809415e-05,0.6005853819053114,-0.014902214293032984,6.61038625185428e-05,0.0005938114463743815,0.014914186957054069,0.19001812652854744,-1.7513710260448647e-05,0.599991570458937
39,0.19501661598450182,-1.605423440541126e-05,0.5999922729206922,0.17987691816658827,0.00035554855792490324,0.5992592419556725,-0.01513969781791355,0.0003716027923303145,-0.0007330309650197542,0.01516198776706675,0.19501661598450182,-1.605423440541126e-05,0.5999922729206922
40,0.2000151054404562,-1.459475855037387e-05,0.5999929753824476,0.18496372288988638,0.0004161339685937881,0.5995748998280367,-0.015051382550569814,0.00043072872714416195,-0.0004180755544108683,0.015063347273736361,0.2000151054404562,-1.459475855037387e-05,0.5999929753824476
41,0.20501359489641058,-1.3135282695336489e-05,0.5999936778442028,0.19036684605099724,-0.00012144205938055934,0.6002809233664549,-0.014646748845413338,-0.00010830677668522285,0.00028724552225212197,0.014649965600251311,0.20501359489641058,-1.3135282695336489e-05,0.5999936778442028
42,0.21001208435236496,-1.1675806840299094e-05,0.599994380305958,0.19557352872141934,0.0006005527698769343,0.599803169122149,-0.014438555630945621,0.0006122285767172334,-0.00019121118380893698,0.014452794686664387,0.21001208435236496,-1.1675806840299094e-05,0.599994380305958
43,0.21501057380831934,-1.0216330985261712e-05,0.5999950827677133,0.20048417470879826,2.8736400620553242e-05,0.5987345473679575,-0.014526399099521081,3.8952731605814954e-05,-0.001260535399755791,0.014581040347242166,0.21501057380831934,-1.0216330985261712e-05,0.5999950827677133
44,0.22000906326427372,-8.756855130224317e-06,0.5999957852294685,0.20514367201769015,-0.0001928886567991749,0.5996103654086236,-0.014865391246583565,-0.00018413180166895057,-0.0003854198208449455,0.014871526817132438,0.22000906326427372,-8.756855130224317e-06,0.5999957852294685
45,0.2250075527202281,-7.297379275186935e-06,0.5999964876912237,0.20963476727364985,-0.00048182138378335623,0.5996563101555675,-0.015372785446578247,-0.00047452400450816927,-0.00034017753565618314,0.015383869024830767,0.2250075527202281,-7.297379275186935e-06,0.5999964876912237
46,0.23000604217618248,-5.83790342014954e-06,0.599997190152979,0.2152126441480135,1.8183242726949446e-05,0.5995687479957985,-0.01479339802816898,2.4021146147098986e-05,-0.0004284421571805197,0.014799620431529506,0.23000604217618248,-5.83790342014954e-06,0.599997190152979
47,0.23500453163213686,-4.378427565112158e-06,0.5999978926147342,0.2197752578272264,-0.0003150060207285996,0.5996993733724654,-0.01522927380491046,-0.00031062759316348746,-0.0002985192422688687,0.015235366220231505,0.23500453163213686,-4.378427565112158e-06,0.5999978926147342
48,0.24000302108809124,-2.9189517100747768e-06,0.5999985950764894,0.22442378449059727,0.0005148959438085943,0.6001853118291609,-0.015579236597493967,0.0005178148955186691,0.00018671675267145638,0.015588957898860481,0.24000302108809124,-2.9189517100747768e-06,0.5999985950764894
49,0.24500151054404562,-1.4594758550373816e-06,0.5999992975382448,0.22998141630167268,-0.0005379263231873189,0.6005885983554435,-0.015020094242372939,-0.0005364668473322816,0.0005893008171987679,0.015041220136052877,0.24500151054404562,-1.4594758550373816e-06,0.5999992975382448
50,0.25,0.0,0.6,0.23439081701027648,0.0005884248658045475,0.5997359757758873,-0.015609182989723525,0.0005884248658045475,-0.0002640242241126467,0.015622501279253896,0.25,0.0,0.6
